t,pulse_1,pulse_2,pulse_3,pulse_4,pulse_5,angle_rad_1,angle_rad_2,angle_rad_3,angle_rad_4,angle_rad_5,torque_state_1,torque_state_2,torque_state_3,torque_state_4,torque_state_5
1767773504.914590,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773504.966889,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773505.018558,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.070697,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.122847,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.174949,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.226944,474,682,-2,455,504,-0.108909,-2.333156,2.102773,-1.382301,0.016755,1,1,1,1,1
1767773505.279146,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.331219,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773505.383440,474,682,-1,455,504,-0.108909,-2.333156,2.098584,-1.382301,0.016755,1,1,1,1,1
1767773505.436160,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773505.488198,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773505.540164,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773505.592489,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.644637,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773505.696858,475,682,-2,454,504,-0.104720,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773505.748833,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.801393,475,682,-3,454,504,-0.104720,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773505.853059,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
